IP,延迟(ms),丢包率(%),速度(Mbps)
172.66.204.56,19.11,0.00,64.94
104.25.8.19,11.47,0.00,67.38
108.162.198.0,27.71,0.00,63.47
103.21.244.19,229.86,0.00,64.13
103.21.244.13,234.17,0.00,62.19
172.66.176.194,18.37,0.00,58.69
108.162.198.17,28.17,0.00,58.39
104.18.231.25,10.80,0.00,58.18
172.64.36.115,10.00,0.00,57.70
198.41.219.125,35.80,0.00,58.58
103.21.244.144,227.39,0.00,57.03
104.24.93.27,10.14,0.00,57.33
103.21.244.184,232.24,0.00,56.79
108.162.198.217,26.44,0.00,56.85
103.21.244.158,233.62,0.00,56.75
103.21.244.32,231.05,0.00,56.40
198.41.219.129,20.53,0.00,56.57
172.66.200.221,18.54,0.00,56.39
104.25.121.247,11.88,0.00,56.14
162.159.44.30,28.53,0.00,55.78
103.21.244.170,234.45,0.00,55.69
